x	y
Reminder should be between 11am to 10pm...	Found
Can yu remember something fr me.	Not Found
Pls remind me of calling electrician Manjeet at 11 am	Found
For reminder	Not Found
Call or just a notification??	Found
Remind me every Monday,Wednesday and friday to potato peel	Found
Remind me make payment	Found
I need one for reminder for tommorow	Not Found
Remind me close 06/673 at 3pm today	Found
Can I set alarm on Friday's phone too	Not Found
Change the alarm to 08:15 today instead of 9 pm	Found
Any reminder is pending	Found
Remind me that I should buy some clothes	Found
I set wakeup alarm @ 6:45 pm	Found
Could u call twice pls?	Found
Remind me to go to library tomorrow at 3 pm	Found
About this app	Found
Remind to to go office at	Found
I want to keep reminder for every monday	Not Found
Everyday you have to remind me at 6pm to study	Found
ji m smjha nhi reminder k bare m jo puneet ji n abhi msg kiya h o.kya h	Found
Can u schedule a message to be send later	Found
Remind me to book ticket around 10 pm today	Found
I want schedule like table can u provide for me	Found
Remind me when it is sanjnas birthday	Not Found
Can we start the reminder from 2:00pm onwards	Not Found
Pl remind me to go to medical store today at 11 am	Found
Please repeat this reminder at 3 today	Not Found
Thanks a lot ya for reminding	Found
I was supposed to get a reminder	Found
Yes Do remind me daily	Not Found
I want you to remind me whenever I get a mail in varun.chnd@rediffmail.com	Found
Can you give me information about job	Found
Remind me at 6:37	Not Found
Can u remind me if gautami putra satakarni muvi is available	Found
Remind me about calling teja again at 8 pm today	Found
I asked for a reminder at 11 am..!!	Found
can you cancle my last reminder	Not Found
Hey, pls remind me to take white card at 11 am tomorrow	Found
I got the call	Not Found
Plz set a reminder 'mail change info to kamaniyo' on 31st dec at 9pm	Found
Please remind to book tickets on Monday morning 9:30	Found
Thx tht reminder is for repairing my watch	Found
Where is my reminder	Found
And set me a reminder	Not Found
I have question about Human Organ .!	Found
Can you remind me every hour	Not Found
Put reminder 6.30pm	Not Found
Listen remind me at 1:10 pm today	Not Found
Can you remind me to leave office at 6pm	Found
Good morning Thank you so much for the reminder	Not Found
And a follow up reminder jua fifteen minutes later on 22nd only	Not Found
Can we do it later?	Not Found
At 9 am i mist go to gym.. remind me	Found
Gimme only notification for reminder	Not Found
Plz remind me to go to library for print out of quotes at 1.00 pm	Found
Can you remind me about it a day in advance?	Found
Remind me about petrol tomorrow morning at 10:20	Found
Maine jab apps open kiya tab mujhe reminder mila... jab main apps open ya visit nahi karunga to mujhe reminder nahi milega	Found
I need your help for reminding me on 13-Jan to 20 Jan daily thrice in a day	Found
Remind to go temple at 7:30 pm	Found
Thank you so much afan	Not Found
Alert me later 5 min	Not Found
Cancal reminder pls	Not Found
Remind me to go to gym today 5:03 pm	Found
I have an exam on 18th January, 2017 Please remind me to download Admit card for that exm before 7 days	Found
Hlo sayali	Not Found
Yes please do	Not Found
Remind me for my teacher's birthday on 21 November at 7:00 Am	Found
Pls remind me of my appt with dr makhija on 9th jan 10.45 pm	Found
Remind me to take printouts at 5 today (Nov 26)	Found
Please set the reminder only till 1st January	Not Found
Remind me to follow through on my diet	Found
Remind me that 'Suits' returns on January 25, 2017	Found
lokesh bday on 28th dec	Found
Please remind mi at 4:21pm	Not Found
Hi please remind me to declare tax tomorrow at 3pm	Found
Please remind me at 5:00 PM that I need to go for Yoga classes	Found
Remind me to check if the cake is done after half an hour	Found
Remind me on Saturday to meet junaid related to speak about coconut	Found
How can I check d Loan Installment reminder	Not Found
Wednesday schedule please	Not Found
Call me everyday at 4:30 pm	Not Found
Please remind me after reached tambaram	Not Found
Please change the reminde time to 9:25AM	Not Found
sorry the bday is on 21st.. so can you plz remind me on 11:55 pm on 20th	Found
I actually should get the alert at 10 right?	Found
Thank you for reminder.	Not Found
Remind me for the same tomorrow at 11am	Found
Remind me to take a print out of Selvi and Pravin vaccination records for the audit tomorrow at 8:15 am positive	Found
I want to know about dish tv packages	Found
Monday to Sunday its take as my daily schedule	Not Found
Set an alarm for 8:15 pm today	Not Found
Actually on anniversary	Not Found
{emoticon}{thumbsup}	Not Found
Need to pay 61200 for my cc on 23rd. I want a reminder on 20th and 21st regarding this	Found
Yes remind me take a farewell gift	Found
Remind me to go college at 1pm today	Found
remind me at 12 pm tomorrow to go to UB colony	Found
I am travelling today I need to make a to do list for that	Not Found
Can you shift my reminder to 8:00 am?	Not Found
Can I set twice reminder at single time	Not Found
Thank u I will inform soon	Found
9 30 pm	Not Found
Can I set recurring reminder	Not Found
Remind me to book redmi 3s on flipkart flash sale 11 Jan. 12 noon	Found
Remind me when india looses wicket	Not Found
Hey set alarm for 10am today	Not Found
Please remind me to mail to my boss tomorrow around 12 pm	Found
message nahi call karna	Found
I want you to call her n wish..can u do tht?	Found
Just wanted to thank you guys for prompt reminders. I am becoming good husband to my wife ...😀😀	Found
Okay remind me after 2 days	Not Found
I have sent U a list of 35 birthdays. Pls set all one by one	Found
Hi good morning	Not Found
Please remind me in 1 hour	Not Found
Set the alarm	Not Found
Reminder on every Thursday to msg jazz	Found
Do I need internet for your reminder?	Not Found
Remind me on 14 December 2016	Not Found
Date: November 8, 2016 Time: 7 00 AM Meeting with: Have to call Chandra by 3.30pm	Found
Wish Birthday Name: Archana- wish her happy bday nd tell about how she looks and wt she wans to do Date: November 6, 2016 Time: 10 46 AM	Found
I would like to discontinue thus reminder	Not Found
call Parag now	Not Found
Remind me to courier to saurabh and make the duplicate key at 5 pm today	Found
Remind me for vehicle placing	Found
Remind me about to meet my client raha lal shah at 12pm	Found
This is a daily reminder	Not Found
Apply cream. Remind me at 10 pm on 22 Nov 2016	Found
Remind me to bring books nd nd anatomyical material	Found
Hey... How can I unsubcribe from the reminders?	Not Found
Remind me morning 7 a.m	Not Found
Plz remind buy paper tomorrow 9am	Found
Good Afternoon Reshma ty for reminding:)	Found
Remind to sell biriyani tickets tomo	Found
Can u call 2-3 times continuosly	Found
Can u give me a call an hour early?	Found
Thanks... but i thot u guyz would call	Not Found
I requested a alert for bday of farooq	Not Found
remind me to cal rahul	Found
Remind me to take 150rs for ccm	Found
Hello Shilpa... Thanks for reminding me 😀	Found
Please remind me to get signature by Nirmal san on 23rd Nov 2016 at 12:30 pm	Found
8:30 today, add a reminder	Found
Set rwminder for tomorrow 10 am for Pune booking	Found
Nothing, thank you for the reminder	Not Found
How do you remind me.	Not Found
Hey vipul can u remind me when opening are there in haptik . I too want to work like this . A.m. also trying for this job. Can u help me ....	Found
Remind me tomorrrow south club7pm meeting & also next year shivika program	Found
Thanks for the alarm	Found
But how to add this reminder ?	Not Found
Remind me to get my kotak bank details at 7 pm today	Found
N also 5 more alarms within the gap of 5 mints	Not Found
Remind me for my car service on monday at 10:30	Found
I want to close this reminder	Found
Yes remind	Not Found
You have to remind me at 10:30	Not Found
Remind me to place Pioneer order at 10.50am tomorrow	Found
Remind me once i reach Visakhapatnam	Not Found
On 9 nov at 11:00 am remind me of Ana problms Deepak book activa servicing n pages in that...	Found
Set it for 4th november , around 11am	Not Found
Please set a reminder for me to make a recharge and do paytm work at 4 PM today.	Found
What about 2:30 P.M?	Not Found
Please remind me in every 2 hours	Not Found
Remind me of Sat Meetup at 10am	Found
Please remind me at 6 clock ..that I have to go for medical shop	Found
My schedule pls	Not Found
Thanks a lot for the reminder	Not Found
Remind me to make chalans at 10.30pm	Found
Can You Plz Set A Reminder For 9 Am	Not Found
Just remind to start my assignment	Found
Reminder at 10.11am	Not Found
Thanks for remind me.....😊	Not Found
Every day zpm and 7pm I must to call this number	Found
Remind me till 10pm	Not Found
Can you remind me to pay my Citibank credit card on Jan 2?	Found
Please set up these reminder everyday for me	Not Found
Pankaj plz set remainder for me today at 8:30 pm	Not Found
Can you change the reminder frequency?	Not Found
Thanks for reminding :-)	Found
Remind me to write a letter to my drawing officer.......at 8'o clock today.....	Found
Remind me that I have to send photos for anoop(photo studio) by evening 7	Found
Thnx for remembering everyday	Not Found
Are know anything about tomorrow weather report in my place	Found
I like these reminders , quite helpful.	Found
Set as both call and notification	Found
I want called 8.30pm remember me	Not Found
Please remind me between 3pm to 5am	Not Found
Can I set the notification ring??	Not Found
Remind me tmrw at 6pm to send project message	Found
Also can you remind me of music practice everyday?	Not Found
Remind me to visit university tomorrow at 3pm	Found
Remind me to wish birthday Pawan at 3:33 pm today	Found
Oky if you have any technical job opening than you can remind me too	Not Found
today at 11.59 to janab...	Found
Plz remind me for my school today at 6:20am	Found
Can youcancel my reminder?	Not Found
Remind me of going to kalindi kunj at 9:30 in the morning	Found
Thank you for reminding me.. You save my life.	Found
Remind to do ppt at 5.00pm today	Found
Meeting Reminder Date: November 19, 2016 Time: 4 00 PM Meeting with: Register office Venue: Sastra	Not Found
8:30 am	Not Found
About you	Not Found
Remind me after 12 minutes	Not Found
Topya collect at 10.30 pm today reminder	Not Found
Can you remind me after 30min .	Not Found
Hey. Can you please discontinue the reminder at night	Not Found
Dear you remember something	Not Found
Thanks for the remainder tc	Not Found
Remember me that I have Tu Pan Cha attendance in 8:30 evening	Found
N calls too	Not Found
I want you to remind me at 10 am and 12 am twice	Not Found
After 10 am baby plz	Found
I want to get a sound alert	Found
I have changed the reminder to every 4 hours	Not Found
From tomorrow you remind me	Not Found
3:00pm remind me for study	Found
Pl remind tomorrow 9:20 am I want o put some order in computer	Found
Remind me of bank work	Found
Can u please remind alarm	Not Found
Hey ankita, remind me of filling the form or CMAT tomorrow	Found
What reminder i set today	Not Found
Call me tommarow morning 7.45am	Not Found
Set in reminder for 4 PM short leave	Found
Remind me at 10.20 a.m. today "university letter preparation"	Found
What is the reminder you set ?	Found
Good morning	Not Found
Plz remind me to discuss about sindhu with team	Found
I want to know about activate dnd in Vodafone	Found
Remind on 9th	Not Found
What will be the reminder alarm tone?	Not Found
If i want to close the reminder what i have to do?	Found
Reminde to attend yoga class at 5.30 pm today	Found
I want alarm	Not Found
Hey thnx for d reminder !!	Not Found
At 12am	Not Found
Thx for the reminder	Not Found
9061428526	Not Found
